# Trials behind speed.md. Written by `mise run bench:speed`; do not edit by hand.
# Date: 2026-09-24
# Roblox: 0.740.19.7400931
# Machine: 12th Gen Intel(R) Core(TM) i9-12900KF, 16 threads, win32 10.0.26200
# Runs: 2, back to back
# surge: 56b6fd5
# rbxts-transformer-surge: 0710f5d (uncommitted changes)
# roblox-ts: 3.0.0
# @rbxts/flamework-binary-serializer: 0.7.0
# @rbxts/serio: 1.2.7
# Blink: 0.18.8
# Method: 9 trials per cell, each at least 0.2 seconds of calls after 0.1 seconds of warm-up calls, timed in chunks of 250 calls so that the yields between chunks are not in the time; within a row the libraries take turns, one trial each, and 3 idle frames separate one row from the next
fixture	library	half	run	trial	rate
deeply nested object	blink	encode	1	9	2221226
deeply nested object	blink	encode	2	1	2183522
deeply nested object	blink	encode	2	2	2205588
deeply nested object	blink	encode	2	3	2221053
deeply nested object	blink	encode	2	4	2229663
deeply nested object	blink	encode	2	5	2209800
deeply nested object	blink	encode	2	6	2191327
deeply nested object	blink	encode	2	7	2174359
deeply nested object	blink	encode	2	8	2154229
deeply nested object	blink	encode	2	9	2142922
deeply nested object	blink	decode	1	1	1640939
deeply nested object	blink	decode	1	2	1651782
deeply nested object	blink	decode	1	3	1651300
deeply nested object	blink	decode	1	4	1627799
deeply nested object	blink	decode	1	5	1632123
deeply nested object	blink	decode	1	6	1603117
deeply nested object	blink	decode	1	7	1616617
deeply nested object	blink	decode	1	8	1632244
deeply nested object	blink	decode	1	9	1589994
deeply nested object	blink	decode	2	1	1643559
deeply nested object	blink	decode	2	2	1625230
deeply nested object	blink	decode	2	3	1644998
deeply nested object	blink	decode	2	4	1641023
deeply nested object	blink	decode	2	5	1608745
deeply nested object	blink	decode	2	6	1589849
deeply nested object	blink	decode	2	7	1658410
deeply nested object	blink	decode	2	8	1630874
deeply nested object	blink	decode	2	9	1646733
deeply nested object	baseline	encode	1	1	4727767
deeply nested object	baseline	encode	1	2	4702551
deeply nested object	baseline	encode	1	3	4666870
deeply nested object	baseline	encode	1	4	4665895
deeply nested object	baseline	encode	1	5	4628674
deeply nested object	baseline	encode	1	6	4594603
deeply nested object	baseline	encode	1	7	4539544
deeply nested object	baseline	encode	1	8	4636176
deeply nested object	baseline	encode	1	9	4653703
deeply nested object	baseline	encode	2	1	4702331
deeply nested object	baseline	encode	2	2	4715050
deeply nested object	baseline	encode	2	3	4701611
deeply nested object	baseline	encode	2	4	4740420
deeply nested object	baseline	encode	2	5	4718427
deeply nested object	baseline	encode	2	6	4721570
deeply nested object	baseline	encode	2	7	4750765
deeply nested object	baseline	encode	2	8	4661227
deeply nested object	baseline	encode	2	9	4739623
deeply nested object	baseline	decode	1	1	2686897
deeply nested object	baseline	decode	1	2	2725672
deeply nested object	baseline	decode	1	3	2675942
deeply nested object	baseline	decode	1	4	2717133
deeply nested object	baseline	decode	1	5	2730909
deeply nested object	baseline	decode	1	6	2698556
deeply nested object	baseline	decode	1	7	2700019
deeply nested object	baseline	decode	1	8	2678685
deeply nested object	baseline	decode	1	9	2695157
deeply nested object	baseline	decode	2	1	2692318
deeply nested object	baseline	decode	2	2	2789485
deeply nested object	baseline	decode	2	3	2749560
deeply nested object	baseline	decode	2	4	2751364
deeply nested object	baseline	decode	2	5	2745897
deeply nested object	baseline	decode	2	6	2780872
deeply nested object	baseline	decode	2	7	2731078
deeply nested object	baseline	decode	2	8	2701054
deeply nested object	baseline	decode	2	9	2689199
wide struct	surge	encode	1	1	1843341
wide struct	surge	encode	1	2	1827068
wide struct	surge	encode	1	3	1729888
wide struct	surge	encode	1	4	1854404
wide struct	surge	encode	1	5	1732342
wide struct	surge	encode	1	6	1804633
wide struct	surge	encode	1	7	1806674
wide struct	surge	encode	1	8	1826223
wide struct	surge	encode	1	9	1852882
wide struct	surge	encode	2	1	1825150
wide struct	surge	encode	2	2	1843332
wide struct	surge	encode	2	3	1843739
wide struct	surge	encode	2	4	1833469
wide struct	surge	encode	2	5	1852560
wide struct	surge	encode	2	6	1848338
wide struct	surge	encode	2	7	1811343
wide struct	surge	encode	2	8	1810858
wide struct	surge	encode	2	9	1839789
wide struct	surge	decode	1	1	717053
wide struct	surge	decode	1	2	713859
wide struct	surge	decode	1	3	704864
wide struct	surge	decode	1	4	712197
wide struct	surge	decode	1	5	691126
wide struct	surge	decode	1	6	710912
wide struct	surge	decode	1	7	709458
wide struct	surge	decode	1	8	715089
wide struct	surge	decode	1	9	717498
wide struct	surge	decode	2	1	703143
wide struct	surge	decode	2	2	697893
wide struct	surge	decode	2	3	700701
wide struct	surge	decode	2	4	710988
wide struct	surge	decode	2	5	710857
wide struct	surge	decode	2	6	716997
wide struct	surge	decode	2	7	690228
wide struct	surge	decode	2	8	710177
wide struct	surge	decode	2	9	701706
wide struct	fbs	encode	1	1	737757
wide struct	fbs	encode	1	2	743321
wide struct	fbs	encode	1	3	730696
wide struct	fbs	encode	1	4	713246
wide struct	fbs	encode	1	5	713085
wide struct	fbs	encode	1	6	734970
wide struct	fbs	encode	1	7	731230
wide struct	fbs	encode	1	8	735541
wide struct	fbs	encode	1	9	728253
wide struct	fbs	encode	2	1	748087
wide struct	fbs	encode	2	2	746561
wide struct	fbs	encode	2	3	752935
wide struct	fbs	encode	2	4	747797
wide struct	fbs	encode	2	5	751431
wide struct	fbs	encode	2	6	741866
wide struct	fbs	encode	2	7	738323
wide struct	fbs	encode	2	8	747436
wide struct	fbs	encode	2	9	736186
wide struct	fbs	decode	1	1	512487
wide struct	fbs	decode	1	2	526193
wide struct	fbs	decode	1	3	527957
wide struct	fbs	decode	1	4	533433
wide struct	fbs	decode	1	5	524558
wide struct	fbs	decode	1	6	524484
wide struct	fbs	decode	1	7	529294
wide struct	fbs	decode	1	8	528312
wide struct	fbs	decode	1	9	523894
wide struct	fbs	decode	2	1	536899
wide struct	fbs	decode	2	2	534340
wide struct	fbs	decode	2	3	535685
wide struct	fbs	decode	2	4	530656
wide struct	fbs	decode	2	5	531686
wide struct	fbs	decode	2	6	515378
wide struct	fbs	decode	2	7	528384
wide struct	fbs	decode	2	8	518080
wide struct	fbs	decode	2	9	533066
wide struct	serio	encode	1	1	117333
wide struct	serio	encode	1	2	118331
wide struct	serio	encode	1	3	117669
wide struct	serio	encode	1	4	117198
wide struct	serio	encode	1	5	116149
wide struct	serio	encode	1	6	118325
wide struct	serio	encode	1	7	118724
wide struct	serio	encode	1	8	117696
wide struct	serio	encode	1	9	119596
wide struct	serio	encode	2	1	119896
wide struct	serio	encode	2	2	120417
wide struct	serio	encode	2	3	121530
wide struct	serio	encode	2	4	121633
wide struct	serio	encode	2	5	121387
wide struct	serio	encode	2	6	121687
wide struct	serio	encode	2	7	119320
wide struct	serio	encode	2	8	119775
wide struct	serio	encode	2	9	119426
wide struct	serio	decode	1	1	253644
wide struct	serio	decode	1	2	246792
wide struct	serio	decode	1	3	254402
wide struct	serio	decode	1	4	250005
wide struct	serio	decode	1	5	248377
wide struct	serio	decode	1	6	251671
wide struct	serio	decode	1	7	251184
wide struct	serio	decode	1	8	250374
wide struct	serio	decode	1	9	251631
wide struct	serio	decode	2	1	249470
wide struct	serio	decode	2	2	246383
wide struct	serio	decode	2	3	251857
wide struct	serio	decode	2	4	252744
wide struct	serio	decode	2	5	248327
wide struct	serio	decode	2	6	254004
wide struct	serio	decode	2	7	251238
wide struct	serio	decode	2	8	247915
wide struct	serio	decode	2	9	250814
wide struct	blink	encode	1	1	1370936
wide struct	blink	encode	1	2	1347341
wide struct	blink	encode	1	3	1401010
wide struct	blink	encode	1	4	1271230
wide struct	blink	encode	1	5	1325239
wide struct	blink	encode	1	6	1392808
wide struct	blink	encode	1	7	1396275
wide struct	blink	encode	1	8	1377214
wide struct	blink	encode	1	9	1349205
wide struct	blink	encode	2	1	1425200
wide struct	blink	encode	2	2	1394861
wide struct	blink	encode	2	3	1413939
wide struct	blink	encode	2	4	1415370
wide struct	blink	encode	2	5	1415329
wide struct	blink	encode	2	6	1365149
wide struct	blink	encode	2	7	1434456
wide struct	blink	encode	2	8	1411097
wide struct	blink	encode	2	9	1415913
wide struct	blink	decode	1	1	501614
wide struct	blink	decode	1	2	502107
wide struct	blink	decode	1	3	492840
wide struct	blink	decode	1	4	497309
wide struct	blink	decode	1	5	497454
wide struct	blink	decode	1	6	499883
wide struct	blink	decode	1	7	495201
wide struct	blink	decode	1	8	485950
wide struct	blink	decode	1	9	496724
wide struct	blink	decode	2	1	496394
wide struct	blink	decode	2	2	486829
wide struct	blink	decode	2	3	494357
wide struct	blink	decode	2	4	498614
wide struct	blink	decode	2	5	499507
wide struct	blink	decode	2	6	489533
wide struct	blink	decode	2	7	497550
wide struct	blink	decode	2	8	491614
wide struct	blink	decode	2	9	498711
large array	surge	encode	1	1	118429
large array	surge	encode	1	2	120101
large array	surge	encode	1	3	121101
large array	surge	encode	1	4	120541
large array	surge	encode	1	5	121408
large array	surge	encode	1	6	121155
large array	surge	encode	1	7	120523
large array	surge	encode	1	8	120480
large array	surge	encode	1	9	120797
large array	surge	encode	2	1	116344
large array	surge	encode	2	2	119328
large array	surge	encode	2	3	118502
large array	surge	encode	2	4	119632
large array	surge	encode	2	5	114685
large array	surge	encode	2	6	117853
large array	surge	encode	2	7	118602
large array	surge	encode	2	8	117577
large array	surge	encode	2	9	118744
large array	surge	decode	1	1	46532
large array	surge	decode	1	2	46869
large array	surge	decode	1	3	48033
large array	surge	decode	1	4	47391
large array	surge	decode	1	5	42583
large array	surge	decode	1	6	43486
large array	surge	decode	1	7	47384
large array	surge	decode	1	8	46924
large array	surge	decode	1	9	47576
large array	surge	decode	2	1	58208
large array	surge	decode	2	2	57445
large array	surge	decode	2	3	57476
large array	surge	decode	2	4	57952
large array	surge	decode	2	5	57377
large array	surge	decode	2	6	57625
large array	surge	decode	2	7	57566
large array	surge	decode	2	8	58049
large array	surge	decode	2	9	56171
large array	fbs	encode	1	1	74350
large array	fbs	encode	1	2	74577
large array	fbs	encode	1	3	74641
large array	fbs	encode	1	4	75673
large array	fbs	encode	1	5	74895
large array	fbs	encode	1	6	74604
large array	fbs	encode	1	7	75538
large array	fbs	encode	1	8	75073
large array	fbs	encode	1	9	74603
large array	fbs	encode	2	1	76578
large array	fbs	encode	2	2	75984
large array	fbs	encode	2	3	76966
large array	fbs	encode	2	4	76399
large array	fbs	encode	2	5	76308
large array	fbs	encode	2	6	74096
large array	fbs	encode	2	7	74919
large array	fbs	encode	2	8	75437
large array	fbs	encode	2	9	75456
large array	fbs	decode	1	1	43339
large array	fbs	decode	1	2	43147
large array	fbs	decode	1	3	43481
large array	fbs	decode	1	4	43299
large array	fbs	decode	1	5	41637
large array	fbs	decode	1	6	41950
large array	fbs	decode	1	7	43485
large array	fbs	decode	1	8	42748
large array	fbs	decode	1	9	42890
large array	fbs	decode	2	1	43526
large array	fbs	decode	2	2	43694
large array	fbs	decode	2	3	43784
large array	fbs	decode	2	4	43722
large array	fbs	decode	2	5	43189
large array	fbs	decode	2	6	43933
large array	fbs	decode	2	7	43696
large array	fbs	decode	2	8	44040
large array	fbs	decode	2	9	43976
large array	serio	encode	1	1	8156
large array	serio	encode	1	2	8070
large array	serio	encode	1	3	8046
large array	serio	encode	1	4	8061
large array	serio	encode	1	5	8065
large array	serio	encode	1	6	8110
large array	serio	encode	1	7	8053
large array	serio	encode	1	8	7998
large array	serio	encode	1	9	8073
large array	serio	encode	2	1	7951
large array	serio	encode	2	2	8005
large array	serio	encode	2	3	8004
large array	serio	encode	2	4	8027
large array	serio	encode	2	5	8022
large array	serio	encode	2	6	8070
large array	serio	encode	2	7	7986
large array	serio	encode	2	8	8044
large array	serio	encode	2	9	8121
large array	serio	decode	1	1	22682
large array	serio	decode	1	2	22642
large array	serio	decode	1	3	23074
large array	serio	decode	1	4	23216
large array	serio	decode	1	5	22209
large array	serio	decode	1	6	22443
large array	serio	decode	1	7	22602
large array	serio	decode	1	8	22948
large array	serio	decode	1	9	23066
large array	serio	decode	2	1	24996
large array	serio	decode	2	2	25094
large array	serio	decode	2	3	24998
large array	serio	decode	2	4	25347
large array	serio	decode	2	5	25267
large array	serio	decode	2	6	24748
large array	serio	decode	2	7	25034
large array	serio	decode	2	8	24927
large array	serio	decode	2	9	24911
large array	blink	encode	1	1	139176
large array	blink	encode	1	2	135522
large array	blink	encode	1	3	138786
large array	blink	encode	1	4	142478
large array	blink	encode	1	5	141708
large array	blink	encode	1	6	139931
large array	blink	encode	1	7	144043
large array	blink	encode	1	8	142079
large array	blink	encode	1	9	142305
large array	blink	encode	2	1	143263
large array	blink	encode	2	2	142346
large array	blink	encode	2	3	141165
large array	blink	encode	2	4	139411
large array	blink	encode	2	5	143993
large array	blink	encode	2	6	143847
large array	blink	encode	2	7	136676
large array	blink	encode	2	8	143842
large array	blink	encode	2	9	143448
large array	blink	decode	1	1	77162
large array	blink	decode	1	2	76495
large array	blink	decode	1	3	75537
large array	blink	decode	1	4	71030
large array	blink	decode	1	5	68223
large array	blink	decode	1	6	77313
large array	blink	decode	1	7	73412
large array	blink	decode	1	8	74922
large array	blink	decode	1	9	76190
large array	blink	decode	2	1	76824
large array	blink	decode	2	2	77421
large array	blink	decode	2	3	75714
large array	blink	decode	2	4	76310
large array	blink	decode	2	5	76248
large array	blink	decode	2	6	78148
large array	blink	decode	2	7	75738
large array	blink	decode	2	8	77863
large array	blink	decode	2	9	76900
large record	surge	encode	1	1	135813
large record	surge	encode	1	2	134297
large record	surge	encode	1	3	134066
large record	surge	encode	1	4	133637
large record	surge	encode	1	5	136615
large record	surge	encode	1	6	134481
large record	surge	encode	1	7	135522
