# Trials behind speed.md. Written by `mise run bench:speed`; do not edit by hand.
# Date: 2026-09-24
# Roblox: 0.740.19.7400931
# Machine: 12th Gen Intel(R) Core(TM) i9-12900KF, 16 threads, win32 10.0.26200
# Runs: 2, back to back
# surge: 56b6fd5 (uncommitted changes)
# rbxts-transformer-surge: 0710f5d (uncommitted changes)
# roblox-ts: 3.0.0
# @rbxts/flamework-binary-serializer: 0.7.0
# @rbxts/serio: 1.2.7
# Blink: 0.18.8
# Method: 9 trials per cell, each at least 0.2 seconds of calls after 0.1 seconds of warm-up calls, timed in chunks of 250 calls so that the yields between chunks are not in the time; within a row the libraries take turns, one trial each, and 3 idle frames separate one row from the next
fixture	library	half	run	trial	rate
wide struct	blink	encode	1	2	1361555
wide struct	blink	encode	1	3	1394384
wide struct	blink	encode	1	4	1324732
wide struct	blink	encode	1	5	1342932
wide struct	blink	encode	1	6	1364660
wide struct	blink	encode	1	7	1397475
wide struct	blink	encode	1	8	1378454
wide struct	blink	encode	1	9	1406745
wide struct	blink	encode	2	1	1378458
wide struct	blink	encode	2	2	1379397
wide struct	blink	encode	2	3	1389956
wide struct	blink	encode	2	4	1357229
wide struct	blink	encode	2	5	1363732
wide struct	blink	encode	2	6	1380628
wide struct	blink	encode	2	7	1361956
wide struct	blink	encode	2	8	1366927
wide struct	blink	encode	2	9	1370770
wide struct	blink	decode	1	1	482454
wide struct	blink	decode	1	2	479601
wide struct	blink	decode	1	3	485614
wide struct	blink	decode	1	4	498334
wide struct	blink	decode	1	5	487416
wide struct	blink	decode	1	6	504735
wide struct	blink	decode	1	7	487917
wide struct	blink	decode	1	8	496294
wide struct	blink	decode	1	9	495972
wide struct	blink	decode	2	1	495237
wide struct	blink	decode	2	2	495842
wide struct	blink	decode	2	3	493301
wide struct	blink	decode	2	4	478527
wide struct	blink	decode	2	5	482234
wide struct	blink	decode	2	6	485151
wide struct	blink	decode	2	7	484436
wide struct	blink	decode	2	8	454882
wide struct	blink	decode	2	9	461657
large array	surge	encode	1	1	120290
large array	surge	encode	1	2	122383
large array	surge	encode	1	3	120057
large array	surge	encode	1	4	122415
large array	surge	encode	1	5	122177
large array	surge	encode	1	6	122031
large array	surge	encode	1	7	121286
large array	surge	encode	1	8	123265
large array	surge	encode	1	9	117736
large array	surge	encode	2	1	119737
large array	surge	encode	2	2	120756
large array	surge	encode	2	3	121751
large array	surge	encode	2	4	122463
large array	surge	encode	2	5	118016
large array	surge	encode	2	6	120872
large array	surge	encode	2	7	120350
large array	surge	encode	2	8	121974
large array	surge	encode	2	9	122058
large array	surge	decode	1	1	57293
large array	surge	decode	1	2	57703
large array	surge	decode	1	3	56417
large array	surge	decode	1	4	55960
large array	surge	decode	1	5	55534
large array	surge	decode	1	6	57802
large array	surge	decode	1	7	57430
large array	surge	decode	1	8	57954
large array	surge	decode	1	9	57248
large array	surge	decode	2	1	53298
large array	surge	decode	2	2	53383
large array	surge	decode	2	3	53383
large array	surge	decode	2	4	53738
large array	surge	decode	2	5	53104
large array	surge	decode	2	6	53104
large array	surge	decode	2	7	53683
large array	surge	decode	2	8	52499
large array	surge	decode	2	9	51233
large array	fbs	encode	1	1	76205
large array	fbs	encode	1	2	75932
large array	fbs	encode	1	3	76242
large array	fbs	encode	1	4	75318
large array	fbs	encode	1	5	76104
large array	fbs	encode	1	6	74993
large array	fbs	encode	1	7	75562
large array	fbs	encode	1	8	75806
large array	fbs	encode	1	9	75962
large array	fbs	encode	2	1	76637
large array	fbs	encode	2	2	75346
large array	fbs	encode	2	3	75930
large array	fbs	encode	2	4	75705
large array	fbs	encode	2	5	74259
large array	fbs	encode	2	6	75399
large array	fbs	encode	2	7	76074
large array	fbs	encode	2	8	75035
large array	fbs	encode	2	9	75740
large array	fbs	decode	1	1	43067
large array	fbs	decode	1	2	42910
large array	fbs	decode	1	3	42951
large array	fbs	decode	1	4	42822
large array	fbs	decode	1	5	42932
large array	fbs	decode	1	6	42787
large array	fbs	decode	1	7	43368
large array	fbs	decode	1	8	43176
large array	fbs	decode	1	9	43321
large array	fbs	decode	2	1	41186
large array	fbs	decode	2	2	42948
large array	fbs	decode	2	3	42554
large array	fbs	decode	2	4	42761
large array	fbs	decode	2	5	42610
large array	fbs	decode	2	6	42455
large array	fbs	decode	2	7	42199
large array	fbs	decode	2	8	42137
large array	fbs	decode	2	9	41043
large array	serio	encode	1	1	8054
large array	serio	encode	1	2	8072
large array	serio	encode	1	3	8021
large array	serio	encode	1	4	8086
large array	serio	encode	1	5	8060
large array	serio	encode	1	6	8165
large array	serio	encode	1	7	8113
large array	serio	encode	1	8	8036
large array	serio	encode	1	9	8134
large array	serio	encode	2	1	7833
large array	serio	encode	2	2	7857
large array	serio	encode	2	3	7808
large array	serio	encode	2	4	7806
large array	serio	encode	2	5	7894
large array	serio	encode	2	6	7826
large array	serio	encode	2	7	7799
large array	serio	encode	2	8	7777
large array	serio	encode	2	9	7816
large array	serio	decode	1	1	24317
large array	serio	decode	1	2	24567
large array	serio	decode	1	3	24321
large array	serio	decode	1	4	24277
large array	serio	decode	1	5	24550
large array	serio	decode	1	6	24542
large array	serio	decode	1	7	24411
large array	serio	decode	1	8	24581
large array	serio	decode	1	9	24554
large array	serio	decode	2	1	23956
large array	serio	decode	2	2	24057
large array	serio	decode	2	3	24590
large array	serio	decode	2	4	24340
large array	serio	decode	2	5	24279
large array	serio	decode	2	6	23775
large array	serio	decode	2	7	24122
large array	serio	decode	2	8	23996
large array	serio	decode	2	9	23902
large array	blink	encode	1	1	141466
large array	blink	encode	1	2	140978
large array	blink	encode	1	3	138647
large array	blink	encode	1	4	140892
large array	blink	encode	1	5	140690
large array	blink	encode	1	6	134424
large array	blink	encode	1	7	139723
large array	blink	encode	1	8	138692
large array	blink	encode	1	9	142424
large array	blink	encode	2	1	141917
large array	blink	encode	2	2	139504
large array	blink	encode	2	3	142342
large array	blink	encode	2	4	138841
large array	blink	encode	2	5	138433
large array	blink	encode	2	6	140572
large array	blink	encode	2	7	140131
large array	blink	encode	2	8	141908
large array	blink	encode	2	9	138017
large array	blink	decode	1	1	76412
large array	blink	decode	1	2	74911
large array	blink	decode	1	3	73630
large array	blink	decode	1	4	76505
large array	blink	decode	1	5	75900
large array	blink	decode	1	6	76426
large array	blink	decode	1	7	76621
large array	blink	decode	1	8	74710
large array	blink	decode	1	9	76412
large array	blink	decode	2	1	71946
large array	blink	decode	2	2	72427
large array	blink	decode	2	3	74019
large array	blink	decode	2	4	74691
large array	blink	decode	2	5	72796
large array	blink	decode	2	6	76235
large array	blink	decode	2	7	73884
large array	blink	decode	2	8	70076
large array	blink	decode	2	9	71333
large record	surge	encode	1	1	134413
large record	surge	encode	1	2	133435
large record	surge	encode	1	3	137500
large record	surge	encode	1	4	138614
large record	surge	encode	1	5	135681
